,player_name,position,team,week,ovr,spd,acc,str,agi,awr,cth,car,thp,kpw,kac,rbk,pbk,tak,btk,jmp,ret,inj,sta,tou,trk,cod,bcv,sfa,spm,jkm,ibl,rbp,rbf,pbp,pbf,lbk,bsk,tup,pmv,fmv,bsh,pur,prc,mcv,zcv,spc,cit,srr,mrr,drr,pow,prs,rls,sac,mac,dac,pac,run
0,Aaron Donald,Right Defensive End,Los Angeles Rams,SUPER BOWL RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,95,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
1,Aaron Donald,Right Defensive End,Los Angeles Rams,CONFERENCE CHAMPIONSHIP RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,95,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
2,Aaron Donald,Right Defensive End,Los Angeles Rams,DIVISIONAL ROUND RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,95,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
3,Aaron Donald,Right Defensive End,Los Angeles Rams,WILD CARD RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,95,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
4,Aaron Donald,Right Defensive End,Los Angeles Rams,WEEK 17 RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,97,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
5,Aaron Donald,Right Defensive End,Los Angeles Rams,WEEK 16 RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,97,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
6,Aaron Donald,Right Defensive End,Los Angeles Rams,WEEK 15 RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,97,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
7,Aaron Donald,Right Defensive End,Los Angeles Rams,WEEK 14 RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,97,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
8,Aaron Donald,Right Defensive End,Los Angeles Rams,WEEK 13 RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,95,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
9,Aaron Donald,Right Defensive End,Los Angeles Rams,WEEK 12 RATINGS,99,82,90,99,86,99,42,48,20,25,21,45,45,94,17,78,10,98,87,93,32,68,49,30,25,28,93,45,45,45,45,23,12,15,99,97,97,98,99,25,29,47,23,16,9,5,89,21,12,6,6,6,6,6
